id_track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
25tZHMv3ctlzqDaHAeuU9c,0.274,0.195,5,-15.289,1,0.0339,0.753,0.739,0.0774,0.168,115.227,284413,4
25U7raB3ZSszayTYClh4hF,0.663,0.168,0,-13.725,1,0.0448,0.928,0.0000568,0.361,0.678,85.005,308027,4
25ueyWzih8QBtf7EzHc3aW,0.592,0.379,10,-12.347,0,0.0503,0.833,0.000225,0.369,0.814,109.082,232760,4
25uNuaOHgtIpW0BJ0xW2Gu,0.685,0.569,2,-6.311,1,0.0334,0.0952,0,0.0754,0.483,74.596,192773,4
25yQPHgC35WNnnOUqFhgVR,0.311,0.325,2,-9.042,1,0.0283,0.0469,0,0.139,0.668,65.09,208467,1
265Anh9hGoozFigjUVLUeD,0.748,0.735,8,-8.692,1,0.0903,0.47,0.0000109,0.0851,0.854,150.04,203653,4
265wxheIYKGEzetXtQ6XAB,0.213,0.968,9,-1.883,1,0.105,0.00644,0.0000408,0.979,0.115,103.615,244413,4
26aMkzRrM0JAYUyJs5V23D,0.287,0.393,3,-8.538,1,0.0303,0.82,0.765,0.113,0.188,180,213333,4
26DrnkqMagiH6Qz9KpyxmD,0.57,0.706,11,-11.758,0,0.868,0.807,0,0.971,0.36,128.784,275110,5
26LhtPHtDDiUzP2NFJtvqy,0.241,0.468,2,-9.579,1,0.0272,0.523,0,0.161,0.452,91.479,112707,3
26MBzKHmZUGVCiz9MQmhQd,0.716,0.359,0,-15.49,1,0.0506,0.879,0.714,0.117,0.731,102.022,175693,4
26N5ikT5aXOoLn3f1y0EQy,0.519,0.672,11,-11.242,1,0.033,0.0304,0.0000186,0.98,0.544,108.174,281027,1
26NX1wPt1TRCH536yocd6i,0.632,0.518,6,-6.126,1,0.0313,0.107,0,0.354,0.427,90.007,249147,4
26PwuMotZqcczKLHi4Htz3,0.671,0.256,7,-10.743,1,0.0387,0.608,0,0.0737,0.694,115.871,233560,4
26pZtB56WqYz1ihC27QXWe,0.517,0.426,0,-8.271,0,0.0607,0.685,0.00000145,0.123,0.555,98.88,241307,4
26qWFdCdW1vmUGZ5gshJ0E,0.407,0.13,2,-22.176,1,0.0805,0.958,0.00395,0.117,0.385,68.639,110093,5
26uQ8ABsE4UPZ0Q7E41T5R,0.793,0.799,8,-6.432,0,0.295,0.0337,0.000214,0.108,0.545,135.009,225213,4
26vLtfKQSZfGpyOM1RVINj,0.661,0.393,5,-8.199,1,0.0554,0.546,0.000131,0.11,0.165,83.851,244820,4
26VRTlpJPvoqM1mAQT3Ia6,0.344,0.514,5,-6.313,1,0.0269,0.208,0.0000198,0.11,0.226,174.559,189307,4
26yl6fSLxa8UHQPKcLocoB,0.482,0.556,4,-6.33,1,0.0276,0.00976,0.0318,0.214,0.117,135.947,282960,3
271EDa1TyGfBSwxJJvVsqE,0.552,0.782,0,-4.935,1,0.0267,0.0146,0,0.123,0.531,95.849,222867,4
273QnyCvJB65rScHJ1nPZb,0.317,0.172,10,-10.636,1,0.0326,0.907,0.000383,0.105,0.0963,65.18,212040,3
275Dgie4QjOc0fR011VVhN,0.472,0.772,5,-5.928,1,0.0316,0.00658,0.0000565,0.132,0.6,139.993,393480,4
279p7dlquGwtt5cNVNZyBB,0.565,0.488,11,-11.914,1,0.0331,0.626,0.00000836,0.802,0.436,114.979,170093,4
279x1F6k9RLQ6qtCAgQTV7,0.657,0.624,10,-7.789,1,0.112,0.759,0,0.966,0.89,101.898,226893,4
27AG99NmWMFLRoyZMMPNW2,0.342,0.613,7,-4.084,1,0.0311,0.705,0,0.14,0.267,145.84,266107,4
27CEEOca1GTaTNdSpqIsrD,0.476,0.183,8,-14.639,1,0.0312,0.866,0.00000263,0.124,0.72,89.624,90651,3
27CPrLxUkUXphqz8l8MA2S,0.865,0.511,0,-6.983,1,0.0362,0.544,0.0000938,0.102,0.774,129.059,245755,4
27dFEjgjwe8cRkjHkHHMsr,0.609,0.529,0,-6.859,1,0.106,0.545,0,0.127,0.474,60.349,235680,4
27e57Wb9rVXPZSXX57XObV,0.543,0.46,5,-8.189,1,0.0241,0.706,0.00441,0.097,0.123,81.998,249733,4
27hhIs2fp6w06N5zx4Eaa5,0.413,0.313,7,-13.138,1,0.0519,0.791,0.0000015,0.0727,0.349,92.515,194427,4
27IKNifrj2oyMWhKSdgKdP,0.547,0.407,10,-11.982,1,0.0292,0.407,0.0000646,0.0427,0.495,153.5,253920,4
