,danceability,energy,speechiness,acousticness,liveness,valence,tempo
337,0.535,0.489,0.0274,0.0621,0.143,0.0883,126.384
338,0.418,0.452,0.0356,0.638,0.0959,0.168,175.088
339,0.725,0.654,0.0609,0.778,0.0769,0.659,97.255
340,0.705,0.312,0.0508,0.89,0.153,0.651,129.885
341,0.404,0.377,0.0291,0.545,0.0966,0.349,157.812
342,0.779,0.867,0.0457,0.0491,0.197,0.915,138.858
343,0.545,0.485,0.0485,0.537,0.104,0.101,80.948
344,0.483,0.284,0.0252,0.942,0.147,0.23,83.989
346,0.436,0.141,0.0308,0.902,0.126,0.146,76.64
348,0.443,0.956,0.0511,5.24e-05,0.135,0.909,146.754
349,0.629,0.511,0.0326,0.114,0.0588,0.181,128.038
350,0.514,0.243,0.0288,0.752,0.0822,0.388,171.816
351,0.316,0.27,0.059,0.171,0.165,0.0956,78.476
352,0.768,0.829,0.0313,0.0964,0.097,0.962,118.773
353,0.541,0.662,0.0382,0.175,0.0803,0.742,144.046
354,0.431,0.543,0.0394,0.122,0.0598,0.44,77.507
355,0.367,0.654,0.0687,0.0296,0.352,0.292,78.54
356,0.468,0.444,0.0335,0.0552,0.285,0.668,125.564
357,0.408,0.965,0.05,6.94e-06,0.11,0.349,136.018
360,0.419,0.085,0.0362,0.908,0.34,0.458,91.509
361,0.785,0.737,0.0363,0.042,0.108,0.971,125.447
362,0.474,0.528,0.0276,0.526,0.109,0.364,144.366
363,0.609,0.922,0.0375,0.213,0.716,0.82,116.582
364,0.396,0.295,0.0343,0.625,0.0989,0.187,155.531
365,0.525,0.186,0.0492,0.959,0.729,0.347,135.879
366,0.74,0.32,0.0501,0.0119,0.178,0.643,121.237
367,0.189,0.39,0.0353,0.257,0.122,0.32,169.563
368,0.593,0.468,0.0285,0.35,0.0919,0.597,75.798
369,0.515,0.148,0.0443,0.752,0.0842,0.651,150.544
370,0.409,0.932,0.0339,1.87e-05,0.31,0.591,131.761
371,0.446,0.632,0.034,0.0793,0.0881,0.359,113.176
372,0.681,0.373,0.0568,0.633,0.0751,0.623,123.423
373,0.404,0.193,0.0305,0.794,0.103,0.273,77.026
374,0.524,0.261,0.0272,0.755,0.144,0.201,73.36
375,0.714,0.658,0.0375,0.654,0.778,0.85,110.97
376,0.314,0.231,0.0299,0.787,0.104,0.414,138.991
377,0.401,0.13,0.0312,0.989,0.101,0.213,93.091
378,0.33,0.814,0.0506,0.155,0.701,0.297,82.131
379,0.511,0.574,0.0273,0.0425,0.105,0.161,119.917
380,0.611,0.72,0.0259,0.291,0.356,0.8,128.594
381,0.649,0.618,0.0265,0.596,0.192,0.667,114.688
382,0.397,0.539,0.0316,0.462,0.0843,0.241,141.408
383,0.366,0.541,0.037,0.412,0.0992,0.163,176.399
384,0.662,0.0925,0.0456,0.273,0.465,0.369,128.637
