,id_chord,id_spotify_track,id_track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,name,popularity,album_name,release_date,mood
611,1774845,1dX6oGAG5PaexuPj29PsYd,9580,0.368,0.267,8,-9.395,0,0.0428,0.655,2.24e-05,0.0834,0.194,91.88,377000,4,i cant go on without you,62.0,A/B,2016-06-10,2
612,196011,1dyTcli07c77mtQK3ahUZR,2977,0.291,0.767,7,-6.913,0,0.0862,0.000401,0.012,0.0763,0.359,175.702,234800,4,just,67.0,The Bends,1995-03-13,7
613,722626,1dzQoRqT5ucxXVaAhTcT0J,5279,0.822,0.739,1,-4.541,0,0.0311,0.0264,4.26e-05,0.181,0.745,118.992,241933,4,just dance,76.0,The Fame,2008-01-01,10
614,18587,1Eb90nmqTrxylKFhcUzW8P,644,0.533,0.36,1,-12.633,1,0.0282,0.0805,1.03e-05,0.0631,0.299,131.229,393640,4,everything i do i do it for you,74.0,Waking Up The Neighbours,1991-09-24,2
615,64459,1Ehdm1PDlKrdfyBsjwEvd1,1427,0.379,0.343,10,-12.993,1,0.0385,0.806,0.0,0.0991,0.694,184.301,179173,4,top of the world,67.0,A Song For You,1972,9
616,576608,1EHh1fC9FCKw31wotfXx7L,4514,0.566,0.905,0,-5.093,1,0.0646,0.0045,0.0,0.21,0.792,83.0,212253,4,how far weve come,56.0,How Far We've Come,2007-09-15,11
617,838493,1ejsHmXBdf1RMLAmDQdFdh,5870,0.333,0.524,10,-6.788,1,0.0301,0.194,0.0,0.124,0.438,73.393,170387,4,love your love the most,58.0,Carolina,2009-01-01,6
618,879170,1EngLyLHPmhWzuYLuD2O1B,3105,0.321,0.956,9,-8.961,1,0.086,0.00505,0.0037,0.949,0.141,107.264,366721,4,jack and diane,9.0,Unplugged (Live 1992),2021-05-04,4
619,1027945,1Eolhana7nKHYpcYpdVcT5,335,0.515,0.534,6,-8.045,1,0.0768,0.181,0.00278,0.0547,0.426,70.776,145747,4,little wing,68.0,Axis: Bold As Love,1967-12-01,6
620,971346,1eoPRTSzIjdFxUxkIW485q,6558,0.523,0.607,1,-4.754,0,0.03,0.512,0.0,0.106,0.0651,145.837,217867,4,talking to the moon,0.0,I Lost Myself - Feeling Sad,2022-06-03,3
621,504256,1ERza8JzFin9c3Keo8XQEX,4226,0.406,0.67,7,-3.48,1,0.032,0.0445,4.27e-06,0.16,0.144,74.96,239693,4,i will be,49.0,The Best Damn Thing (Expanded Edition),2007-04-17,3
622,2378737,1EyDyYmB9lrAaiLS1WcA4c,10595,0.313,0.565,0,-8.292,1,0.0381,0.488,0.000211,0.106,0.106,114.329,273708,5,demonyo redefined,53.0,Demonyo (Redefined),2018-03-09,3
623,840629,1EzrEOXmMH3G43AXT1y7pA,3633,0.703,0.444,11,-9.331,1,0.0417,0.559,0.0,0.0973,0.712,150.96,242947,4,im yours,79.0,We Sing. We Dance. We Steal Things.,2008-05-12,9
624,954593,1f2V8U1BiWaC9aJWmpOARe,6471,0.451,0.97,0,-4.938,1,0.107,0.0264,0.00355,0.102,0.198,122.444,216933,4,by the way,73.0,By the Way (Deluxe Edition),2002-07-09,4
625,1000701,1F9SIR4geHCMuZcdkRzvPz,2434,0.446,0.739,2,-5.803,1,0.0367,0.449,0.0,0.52,0.27,85.344,322933,4,jeepney,58.0,Palabas & Transit Collection,2013,3
626,574882,1faIgH9AF6629h84H2MTDW,4502,0.431,0.928,3,-2.622,1,0.0408,0.0209,0.0,0.108,0.545,156.062,204853,4,over you,50.0,Daughtry,2006,7
627,187946,1fDsrQ23eTAVFElUMaf38X,2917,0.531,0.481,4,-11.709,0,0.06,0.699,0.0,0.0842,0.491,138.45,516893,4,american pie,75.0,American Pie,1971,6
628,582263,1fEGtTZjrjJW8eUeewnNJR,4538,0.369,0.403,3,-7.996,1,0.0259,0.827,0.0541,0.106,0.177,154.899,241917,3,flightless bird american mouth,67.0,The Shepherd's Dog,2007-09-25,2
629,1678182,1fkbRoG0j82qQRcVCTVspp,9138,0.681,0.582,6,-7.76,0,0.0313,0.22,0.0,0.119,0.221,124.035,248360,4,18,9.0,Love Bops 2022,2022-03-23,3
630,206120,1fKc0iaTmLrHu1V9fpH4SK,3085,0.568,0.268,9,-9.234,0,0.0307,0.839,0.0,0.0988,0.216,144.955,271040,4,listen to your heart,44.0,Listen to Your Heart,2018-11-28,2
631,601753,1FkoVC85Ds3mFoK0fVqEqP,4643,0.488,0.862,0,-7.595,1,0.0476,0.0204,0.0,0.359,0.706,104.56,257827,4,self esteem,75.0,Smash,1994-04-08,11
632,937057,1fkYmLPG2Oi2AkUmcspWKl,6387,0.363,0.71,2,-3.08,1,0.0308,0.216,0.0,0.121,0.383,170.113,203733,4,like we used to,60.0,On Your Side,2009-10-12,6
633,1095993,1FnYyjP1981tRpa1Wy4ac0,7455,0.667,0.718,1,-4.736,0,0.0605,0.0165,0.0,0.104,0.345,91.993,192200,4,it girl,0.0,Flashback 10s,2022-06-03,6
